# m1_detect	m2_detect	luminosity_dustance	cos_theta_jn	s1z	s2z
4.302367419295173789e+01 3.398448756202702015e+01 7.984005950281323294e+02 9.520039710059291505e-01 6.466399171285434899e-02 2.242211759219932266e-01
5.092684794107799462e+01 2.715079035828419762e+01 1.196598900451557938e+03 9.820221375376615436e-01 3.012629831312852446e-01 -2.427729070302369896e-01
4.144771812678531830e+01 3.454175865852187854e+01 6.456770997810933750e+02 6.177486331799267871e-01 1.055622699817950622e-01 2.992361567259723687e-01
3.896829834403589388e+01 3.522245283691971451e+01 5.791930385807098673e+02 4.619611299313586272e-01 -1.116060372419260815e-01 4.652866908223614595e-01
5.402862366725210563e+01 2.586442406857155163e+01 1.055273299566151763e+03 9.208454738300203557e-01 2.539898299682252225e-01 5.834174493290807811e-02
5.811759784034233434e+01 2.399508915818498878e+01 1.008091733138759878e+03 9.335568959316493665e-01 2.285719002923845000e-01 -2.377321461343280540e-01
4.437378481244893891e+01 3.119695176003189729e+01 1.213888706828785871e+03 8.812768519641405174e-01 1.266892391811625107e-01 1.735503876044851568e-01
3.828834020930418092e+01 3.826294981256219785e+01 1.160286772177952344e+03 9.194368844138778307e-01 -6.835312562516512869e-02 4.563456138912571625e-01
4.765846700324066632e+01 2.342252613668448546e+01 9.143085659991029388e+02 8.336912773471069071e-01 8.958160363250029790e-02 -5.937739065302531927e-01
3.646312675627869737e+01 3.325105513020734094e+01 8.234510491983838847e+02 7.091067745493599972e-01 9.409652074985304371e-02 -1.699756769580516025e-01
3.710832072958164218e+01 3.664136459587020056e+01 1.026937339610343315e+03 7.295154608458001011e-01 5.793620987476185563e-02 1.541963102806684083e-01
4.091916646219331710e+01 3.301384690358166552e+01 7.682825427014071238e+02 6.502861043118288720e-01 -2.468053066987394850e-01 6.545464634821834826e-01
5.021846760094474149e+01 2.813002168932726121e+01 1.036052579856522470e+03 9.369438862542339708e-01 4.761139165130439527e-02 4.001351411132609281e-01
4.610915066100016446e+01 3.122539648427743586e+01 8.779555764750112985e+02 6.220321211886939983e-01 1.302853289826479966e-01 2.341014977864785962e-01
5.379136298387557247e+01 2.560397576871912406e+01 1.029620400546971268e+03 9.534668562674355474e-01 2.173734989553566532e-01 -2.074416473239270031e-01
4.645670732340443010e+01 3.151127853107344023e+01 9.298603573646610130e+02 6.977774733409050079e-01 -2.064600232213459341e-01 8.919352629154159162e-01
4.503806983387587337e+01 2.909389616553743707e+01 1.077475879267856499e+03 9.710065329596125894e-01 2.838285710679084861e-01 -3.023953796945544337e-01
3.842084203968219924e+01 3.519729369450042356e+01 7.556662925040925529e+02 6.446580662298340147e-01 1.042166238717291867e-02 2.305521831735515281e-01
4.353800757843453795e+01 3.374248737327971526e+01 8.886426842978588638e+02 6.907902916198684906e-01 3.274294144492460590e-01 2.608188928125030129e-02
3.902477389142094211e+01 3.417476344380075659e+01 6.702105576445449060e+02 4.548507804704499669e-01 -1.679580179880994506e-01 2.538023507953973690e-01
4.385414653960513220e+01 3.065629092863854410e+01 9.726153564124163040e+02 7.504977311910685511e-01 -2.447307100187423867e-01 7.094758848240533267e-01
5.140323180576719153e+01 2.264957122982583115e+01 9.143157725952253259e+02 9.037527474725884913e-01 -9.197200163048549482e-03 -5.681665730718925278e-03
4.700557642580135820e+01 3.079985066898725421e+01 1.208859588614495806e+03 9.772361716654753838e-01 4.550650626677588129e-01 -2.776862430113060665e-01
5.143404748143255034e+01 2.433560302917408791e+01 8.033147588220444959e+02 8.337455021842985481e-01 1.543674340562400105e-01 -2.954395627431191662e-01
3.971485854899570000e+01 3.490785929166552393e+01 1.118452784943199504e+03 9.842643449683925461e-01 2.903743524910814555e-01 -9.388504279028800359e-02
3.818025651905909967e+01 3.532907331972062792e+01 7.695271622437585393e+02 9.008999619917884560e-01 2.503746177399783779e-01 -9.058916602811475927e-02
4.264944249764923256e+01 2.957128156163541277e+01 6.134869993505952834e+02 5.208637023831451662e-01 -2.158871302431981942e-01 5.588453753588166206e-01
4.756173377676678626e+01 2.833598819007821135e+01 9.172358119040339943e+02 7.816093160476268453e-01 1.217421007588195964e-01 2.046684958347304295e-01
4.451950306695946580e+01 3.309185299092808918e+01 7.540327563598041252e+02 5.308847243366424662e-01 -8.554739357077986717e-02 5.956641524059087534e-01
4.505857615828178098e+01 2.776801950567346466e+01 9.667554672404919529e+02 7.612954508729008474e-01 -2.028267094803627157e-01 5.198890579307456905e-01
3.878771512887860951e+01 3.352594778240401752e+01 9.921261288608919813e+02 8.262732037894933157e-01 1.894503552699020391e-02 1.889470739351609141e-01
