# m1_detect	m2_detect	luminosity_dustance	cos_theta_jn	s1z	s2z
3.846075562384967128e+01 3.523791376657737118e+01 2.911030306124553704e+02 -5.846832506566854715e-01 5.597589735655540411e-01 -4.578879348959745132e-01
4.004078137354380118e+01 3.230522715705065906e+01 5.166020740897349697e+02 -8.873723116769346442e-01 3.816666567730632731e-01 -5.811066156583647446e-01
4.481798459461717243e+01 2.894424209233512357e+01 3.472806152445243697e+02 -9.703303671337553116e-01 3.044583921980604027e-02 -3.219164008054730547e-02
3.631676574282264625e+01 3.263640593891454245e+01 5.054330622079785940e+02 -8.698456561810519183e-01 -7.469975588982843626e-03 -3.844150844560788594e-01
3.731638373022230581e+01 3.498935386179275753e+01 2.114329013343461554e+02 -4.996838495861388729e-01 3.344615368486739820e-02 -6.945093018283207686e-02
3.924211440862246292e+01 3.240205868487778673e+01 5.481133583667652829e+02 9.928531671370456335e-01 2.288243465904847562e-01 -2.979971954423507596e-01
3.929523779994668331e+01 3.333151821911193480e+01 4.942511383606414483e+02 -9.592972893510561816e-01 3.743889456547055267e-02 -4.938000801567984238e-02
3.844621231293334063e+01 3.539290843641881423e+01 5.502909483991032857e+02 -9.615092194064496223e-01 -6.894912097021252406e-02 1.722913652503069437e-01
4.082999638806172982e+01 3.234686457329056708e+01 5.207573814409043962e+02 -8.922234330175985439e-01 -2.684374671272736143e-02 1.221086380768692664e-01
4.596926465883712609e+01 2.478350638386964633e+01 3.969559387579413396e+02 -8.654831079115208325e-01 3.362589506065100098e-02 -4.213576304964690711e-01
3.881233192519236752e+01 3.609719150979963587e+01 3.509742558556223457e+02 -9.161512278522121466e-01 1.283061098850976356e-01 2.450296283141371184e-02
3.806958511681303747e+01 3.216930651882844217e+01 4.127656194377859151e+02 -7.495495104553442367e-01 6.480495212077747036e-02 -1.947425182727398896e-01
4.022531332941428417e+01 3.088096676442960131e+01 4.068667918908258230e+02 -6.559869770460066141e-01 -4.916140016333139240e-01 6.397376835420830465e-01
3.766777740579285449e+01 3.741780552587415798e+01 6.178587273603860694e+02 -9.904042285102238052e-01 5.843130717507455385e-02 2.351927101177332322e-02
4.220691996675608237e+01 2.885625564785913610e+01 3.210135748144060699e+02 -5.454265873838872736e-01 -3.590970225581088110e-02 -1.373804030873762572e-02
3.756179566157879890e+01 3.640806168641352514e+01 3.399605247068090534e+02 -7.125435584597745731e-01 1.437103197333780558e-02 1.711181247215266266e-01
4.099760787213865143e+01 3.394816741677171734e+01 3.549753615582912403e+02 -9.722166872416330152e-01 3.771658415697286548e-01 -3.472705491001022993e-01
3.897909468258254861e+01 3.763736760580223262e+01 3.520661813128579070e+02 -5.719837956607108920e-01 -9.538125136518385561e-02 3.850310269958222564e-01
3.970483395951614369e+01 3.409123499625003717e+01 4.378936234028196850e+02 -9.386179352939498788e-01 2.928482023749732766e-01 -3.283907499730565616e-01
4.107333498959881979e+01 3.340132902894050204e+01 5.158487864260226843e+02 -9.278364263214903263e-01 -1.722101106028140483e-01 2.908716541490592444e-01
3.871360195487550726e+01 3.309619930207276894e+01 5.072889219949361745e+02 -8.953283284205406645e-01 -3.036543000026352759e-02 -9.176051033074554553e-02
3.732905959904008597e+01 3.492352460130305758e+01 4.507265411487487086e+02 -9.733394958908767602e-01 4.684441920581928764e-01 -4.866731664004312896e-01
3.982684566234976131e+01 3.389900339880846758e+01 3.801514967779997960e+02 -8.911550417995771634e-01 5.952506434261939372e-02 -3.328608601007432884e-03
4.096326836996377807e+01 2.961157695182718186e+01 4.092670145980509346e+02 -7.085421113134848792e-01 -1.757778008949537410e-02 -1.287825756082097706e-01
3.841558016151021349e+01 3.326064386565752784e+01 3.516719111863978355e+02 -7.101135689231076187e-01 -1.339220833231155872e-01 1.166779795528708336e-01
4.021263780432514068e+01 3.518080771665061235e+01 5.795105306085479242e+02 -9.799451500389686487e-01 -1.409956168138591301e-02 1.729713490390976660e-01
